ecg_beats,f1,fixed_delay_ms,hr_abs_error_bpm,hr_ecg_bpm,hr_radar_bpm,ibi_mae_ms,matched_beats,method,precision,radar_beats,recall,rmssd_abs_error_ms,sdnn_abs_error_ms,subject,timing_mae_ms,tolerance_ms
121,0.4722222222222222,-18.000000000000682,3.8744813948461285,83.34468007034255,79.47019867549642,86.41481445312458,51,c1d_radarbeat_global_dp,0.5368421052631579,95,0.4214876033057851,51.99724456805279,19.10000206851589,9779,83.60202684589497,150.0
110,0.09473684210526316,-18.000000000000682,1.639858295043048,44.90785310914619,46.547711404189236,34.91101074218332,9,c1c_local_peak,0.1125,80,0.08181818181818182,13.712630302868092,11.511345476955285,97795,29.600802951388435,50.0
110,0.21052631578947367,-18.000000000000682,1.266067525577757,29.648281338255085,28.38221381267733,52.47238641036048,20,c1c_local_peak,0.25,80,0.18181818181818182,8.009296846355937,9.629913182777727,97795,48.6313354492188,75.0
110,0.28421052631578947,-18.000000000000682,1.1895954955435855,33.13534729621844,34.32494279176203,58.606867863580725,27,c1c_local_peak,0.3375,80,0.24545454545454545,15.397752601493721,3.463359447745461,97795,58.168484157986114,100.0
110,0.4105263157894737,-18.000000000000682,8.097996141729226,47.0744176513742,55.17241379310342,102.12013003700717,39,c1c_local_peak,0.4875,80,0.35454545454545455,38.643215837295884,9.635722399855467,97795,79.2721479366993,150.0
110,0.125,-18.000000000000682,0.10525182645639575,20.138640808092475,20.03338898163608,45.77990722656248,13,c1d_radarbeat_global_dp,0.1326530612244898,98,0.11818181818181818,61.32207502212623,22.96675371005631,97795,34.43577223557751,50.0
110,0.16346153846153846,-18.000000000000682,0.11446160240781467,24.959182099302232,24.844720496894418,63.50531005859322,17,c1d_radarbeat_global_dp,0.17346938775510204,98,0.15454545454545454,29.796762656375904,9.652392250443881,97795,40.724365234375014,75.0
110,0.19230769230769232,-18.000000000000682,0.39947513692140646,28.56848922142846,28.169014084507054,77.6437731291115,20,c1d_radarbeat_global_dp,0.20408163265306123,98,0.18181818181818182,44.57345239719598,17.589089870846237,97795,47.78073730468753,100.0
110,0.33653846153846156,-18.000000000000682,5.287212109942182,46.43692582109232,51.724137931034505,124.73389389935512,35,c1d_radarbeat_global_dp,0.35714285714285715,98,0.3181818181818182,39.31708733302503,16.32563308356316,97795,79.21983816964234,150.0


